site,camera_a,camera_b,role
lumpi_M6,C05,C06,mvc_supported_component
lumpi_M6,C05,C07,overlap_edge
lumpi_M6,C06,C07,overlap_edge
lumpi_M3,C08,C09,overlap_edge
lumpi_M3,C08,C10,overlap_edge
lumpi_M3,C09,C10,overlap_edge
synth_Town04_O_day,C01,C02,overlap_edge
synth_Town04_O_day,C01,C03,overlap_edge
synth_Town04_O_day,C01,C04,overlap_edge
synth_Town04_O_day,C02,C03,overlap_edge
synth_Town04_O_day,C02,C04,overlap_edge
synth_Town04_O_day,C03,C04,overlap_edge
synth_Town05_O_day,C01,C02,overlap_edge
synth_Town05_O_day,C01,C03,overlap_edge
synth_Town05_O_day,C01,C04,overlap_edge
synth_Town05_O_day,C01,C05,overlap_edge
synth_Town05_O_day,C01,C06,overlap_edge
synth_Town05_O_day,C02,C03,overlap_edge
synth_Town05_O_day,C02,C04,overlap_edge
synth_Town05_O_day,C02,C05,overlap_edge
synth_Town05_O_day,C02,C06,overlap_edge
synth_Town05_O_day,C03,C04,overlap_edge
synth_Town05_O_day,C03,C05,overlap_edge
synth_Town05_O_day,C03,C06,overlap_edge
synth_Town05_O_day,C04,C05,overlap_edge
synth_Town05_O_day,C04,C06,overlap_edge
synth_Town05_O_day,C05,C06,overlap_edge
