method,scene,seed,checkpoint_path,exists,sha256,bytes,feature_version,risk_scalar_mode,anchor_mode,max_residual_m,mvc_pair_count,raw_mvc_pair_count,acceptor_json,notes
Ours-HSG-SRL-Frozen,lumpi_M6,0,results/runs/lumpi_M6/training/frozen_checkpoints/lumpi_M6_seed0.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/lumpi_M6_seed0.json,weights not redistributed; train with scripts/train_paper_sites.py
Ours-HSG-SRL-Frozen,lumpi_M6,1,results/runs/lumpi_M6/training/frozen_checkpoints/lumpi_M6_seed1.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/lumpi_M6_seed1.json,
Ours-HSG-SRL-Frozen,lumpi_M6,2,results/runs/lumpi_M6/training/frozen_checkpoints/lumpi_M6_seed2.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/lumpi_M6_seed2.json,
Ours-HSG-SRL-Frozen,lumpi_M3,0,results/runs/lumpi_M3/training/frozen_checkpoints/lumpi_M3_seed0.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/lumpi_M3_seed0.json,
Ours-HSG-SRL-Frozen,lumpi_M3,1,results/runs/lumpi_M3/training/frozen_checkpoints/lumpi_M3_seed1.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/lumpi_M3_seed1.json,
Ours-HSG-SRL-Frozen,lumpi_M3,2,results/runs/lumpi_M3/training/frozen_checkpoints/lumpi_M3_seed2.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/lumpi_M3_seed2.json,
Ours-HSG-SRL-Frozen,synth_Town04_O_day,0,results/runs/synth_Town04_O_day/training/frozen_checkpoints/synth_Town04_O_day_seed0.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/synth_Town04_O_day_seed0.json,
Ours-HSG-SRL-Frozen,synth_Town04_O_day,1,results/runs/synth_Town04_O_day/training/frozen_checkpoints/synth_Town04_O_day_seed1.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/synth_Town04_O_day_seed1.json,
Ours-HSG-SRL-Frozen,synth_Town04_O_day,2,results/runs/synth_Town04_O_day/training/frozen_checkpoints/synth_Town04_O_day_seed2.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/synth_Town04_O_day_seed2.json,
Ours-HSG-SRL-Frozen,synth_Town05_O_day,0,results/runs/synth_Town05_O_day/training/frozen_checkpoints/synth_Town05_O_day_seed0.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/synth_Town05_O_day_seed0.json,
Ours-HSG-SRL-Frozen,synth_Town05_O_day,1,results/runs/synth_Town05_O_day/training/frozen_checkpoints/synth_Town05_O_day_seed1.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/synth_Town05_O_day_seed1.json,
Ours-HSG-SRL-Frozen,synth_Town05_O_day,2,results/runs/synth_Town05_O_day/training/frozen_checkpoints/synth_Town05_O_day_seed2.pt,0,,,fab1_metric_jacobian_robust_shape_v2,metric_jacobian,multiplicative_gating_offsetted,1.0,,,manifests/acceptor/synth_Town05_O_day_seed2.json,
