site,method,gate,tp,fp,fn,idsw,deta,assa,hota,loca,idf1,mota
lumpi_M6,baseline,0.5,3976,15269,33524,419,0.07534726828251435,0.20849435841087108,0.1253374659013601,0.40528730190677287,0.1121508502951802,-0.31231999999999993
lumpi_M6,seed0,0.5,5113,13899,32387,513,0.09947664351446527,0.25708529031776317,0.159918672386163,0.4208470366893081,0.14743771234428085,-0.24797333333333338
lumpi_M6,seed1,0.5,5997,13090,31503,589,0.1185412136785926,0.3295837911265536,0.19765946121785677,0.3971265724731716,0.17339671656034072,-0.20485333333333333
lumpi_M6,seed2,0.5,5877,13119,31623,506,0.11610264920286849,0.32338374736558473,0.1937671535072328,0.3812336926507925,0.1716581704899462,-0.20661333333333332
lumpi_M6,baseline,1.0,9563,9682,27937,890,0.20268322665423255,0.3362976511214467,0.26107832741446424,0.42096605157007355,0.24844479689840515,-0.026906666666666634
lumpi_M6,seed0,1.0,11838,7174,25662,999,0.2649863455253615,0.46917205241624255,0.3525963522108722,0.46084113736932864,0.3333805209513024,0.09773333333333334
lumpi_M6,seed1,1.0,12375,6712,25125,1067,0.27990138423957295,0.48167698579125157,0.3671812292033954,0.48220801892547416,0.34393058476328486,0.12256
lumpi_M6,seed2,1.0,12445,6551,25055,1003,0.2825134503189485,0.4814140315464181,0.36878983050530784,0.4712452358705605,0.3479538374398187,0.1304266666666667
lumpi_M6,baseline,1.5,13607,5638,23893,1117,0.3154295516713802,0.4381461607183525,0.3717583180534451,0.4969134995174895,0.3511851264428584,0.18272
lumpi_M6,seed0,1.5,14355,4657,23145,1135,0.34051284484190053,0.46518313133851164,0.3979960193576565,0.5629467778180745,0.3825028312570781,0.2283466666666667
lumpi_M6,seed1,1.5,14374,4713,23126,1190,0.3405112169236965,0.4625612929120235,0.3968719047139411,0.5888597979075493,0.37863820312085816,0.22589333333333328
lumpi_M6,seed2,1.5,14364,4632,23136,1136,0.3409285103958986,0.4647320230292163,0.3980457214248423,0.5865046707543142,0.3814429340130275,0.2292266666666667
lumpi_M6,baseline,2.0,14619,4626,22881,1172,0.3470303375587523,0.4343084152295786,0.3882244144070893,0.5912955783806685,0.36997092254824215,0.2352266666666667
lumpi_M6,seed0,2.0,14788,4224,22712,1192,0.35442431214648645,0.4623867339712152,0.4048223068624163,0.6571264763109714,0.3888731596828992,0.24992000000000003
lumpi_M6,seed1,2.0,14770,4317,22730,1233,0.35320563407226724,0.46026956019264437,0.4031994566613484,0.6773379969921961,0.3854242140420945,0.24586666666666668
lumpi_M6,seed2,2.0,14778,4218,22722,1172,0.35423558176326764,0.4624654410782867,0.4047489525196737,0.6754485972372184,0.3890894930614557,0.2503466666666667
