site,method,gate,tp,fp,fn,idsw,deta,assa,hota,loca,idf1,mota
synth_Town04_O_day,baseline,0.5,896,2423,5712,19,0.09921381906765585,0.39353041093288194,0.197594673480626,0.31590147567844296,0.17125012591921024,-0.23395883777239712
synth_Town04_O_day,seed0,0.5,882,2449,5726,17,0.09738323948327261,0.33729128270304626,0.18123608293905208,0.40546286147844646,0.17023845457289466,-0.23970944309927367
synth_Town04_O_day,seed1,0.5,925,2304,5683,18,0.10379263913824058,0.3529365472033052,0.19139544321265664,0.3949628536189735,0.1797295923553929,-0.21141041162227614
synth_Town04_O_day,seed2,0.5,841,2388,5767,19,0.09348599377501111,0.328184400128617,0.17515891295472133,0.42779693747977465,0.16244790078275897,-0.23698547215496357
synth_Town04_O_day,baseline,1.0,1504,1815,5104,36,0.17855870829870593,0.42128451283500695,0.2742699736355922,0.49336566319180136,0.27097814042510326,-0.052512106537530245
synth_Town04_O_day,seed0,1.0,1455,1876,5153,36,0.1714992927864215,0.42802380697147097,0.27093501101068324,0.5384616892176276,0.26723010363215616,-0.0691585956416465
synth_Town04_O_day,seed1,1.0,1456,1773,5152,40,0.1737262856461043,0.42767842003490836,0.2725783985638977,0.5399495456105354,0.268781132459083,-0.05402542372881358
synth_Town04_O_day,seed2,1.0,1453,1776,5155,42,0.17330629770992367,0.4279777286169516,0.2723439656921121,0.536150950265698,0.2677645623665752,-0.05523607748184012
synth_Town04_O_day,baseline,1.5,1909,1410,4699,47,0.23808929907707657,0.4594507163510658,0.3307420430131101,0.5716344151170404,0.3412914274201672,0.06840193704600483
synth_Town04_O_day,seed0,1.5,1887,1444,4721,41,0.23435171385991058,0.44846189065617376,0.3241879280234385,0.5822866504951517,0.32317134520575513,0.060835351089588374
synth_Town04_O_day,seed1,1.5,1898,1331,4710,46,0.2390729310996347,0.44698631248197457,0.3268980389761965,0.5803441202603333,0.3267256277320321,0.07884382566585957
synth_Town04_O_day,seed2,1.5,1890,1339,4718,48,0.23782559456398641,0.447697716002907,0.3263035021162508,0.5794346157036254,0.3250991155840195,0.07611985472154958
synth_Town04_O_day,baseline,2.0,2197,1122,4411,78,0.2842173350582147,0.42968314120587187,0.34946158202723154,0.6065420878275092,0.3648635035761056,0.15087772397094434
synth_Town04_O_day,seed0,2.0,2211,1120,4397,69,0.28610248447204967,0.41966543703509945,0.3465073219757275,0.6045082621359186,0.3525505584062783,0.15466101694915257
synth_Town04_O_day,seed1,2.0,2216,1013,4392,74,0.29077548878099985,0.41921364177112774,0.34913758260843625,0.6061146931495321,0.3578326725627732,0.17085351089588374
synth_Town04_O_day,seed2,2.0,2212,1017,4396,76,0.2900983606557377,0.41935877095671287,0.3487911867882378,0.6031267126203241,0.35762935854427164,0.16934019370460052
